ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-20T06:00:45.938511,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:00:45.938511,11721,31.959503,35.95583,222.8,0,58-11721,10637,N/A
2025-11-20T06:00:45.938511,10996,31.946272,35.92694,279.22,1,58-10996,10643,N/A
2025-11-20T06:00:45.938511,93341,31.945244,35.928436,25.8,1,58-93341,10643,N/A
2025-11-20T06:00:45.938511,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:00:45.938511,11541,32.00217,35.875835,316.55,1,58-11541,10635,N/A
2025-11-20T06:01:31.106319,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:01:31.106319,11721,31.954975,35.951244,247.31,0,58-11721,10637,N/A
2025-11-20T06:01:31.106319,10996,31.946035,35.923557,249,1,58-10996,10643,N/A
2025-11-20T06:01:31.106319,93341,31.945244,35.928436,25.8,1,58-93341,10643,N/A
2025-11-20T06:01:31.106319,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:01:31.106319,11541,32.00576,35.873013,329.63,1,58-11541,10635,N/A
2025-11-20T06:02:10.407286,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:02:10.407286,11721,31.954145,35.94765,255.53,0,58-11721,10637,N/A
2025-11-20T06:02:10.407286,10996,31.946358,35.91836,304.08,1,58-10996,10643,N/A
2025-11-20T06:02:10.407286,93341,31.945244,35.928436,25.8,1,58-93341,10643,N/A
2025-11-20T06:02:10.407286,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:02:10.407286,11541,32.013607,35.869595,330.37,1,58-11541,10635,N/A
2025-11-20T06:02:48.419851,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:02:48.419851,11721,31.953323,35.94388,259.86,0,58-11721,10637,N/A
2025-11-20T06:02:48.419851,10996,31.947855,35.915913,303.63,1,58-10996,10635,N/A
2025-11-20T06:02:48.419851,93341,31.945244,35.928436,25.8,1,58-93341,10643,N/A
2025-11-20T06:02:48.419851,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:02:48.419851,11541,32.017086,35.866512,320.51,1,58-11541,10635,N/A
2025-11-20T06:03:24.111402,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:03:24.111402,11721,31.953236,35.94186,271.88,0,58-11721,10637,N/A
2025-11-20T06:03:24.111402,10996,31.948029,35.915573,0,1,58-10996,10635,N/A
2025-11-20T06:03:24.111402,93341,31.945326,35.9285,31.7,1,58-93341,10643,N/A
2025-11-20T06:03:24.111402,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:03:24.111402,11541,32.01875,35.86494,313.45,1,58-11541,10635,N/A
2025-11-20T06:04:08.857521,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:04:08.857521,11721,31.951899,35.937317,233.98,0,58-11721,10637,N/A
2025-11-20T06:04:08.857521,10996,31.948195,35.913857,257.06,1,58-10996,10635,N/A
2025-11-20T06:04:08.857521,93341,31.945326,35.928497,31.7,1,58-93341,10643,N/A
2025-11-20T06:04:08.857521,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:04:08.857521,11541,32.02436,35.857666,293.39,1,58-11541,10616,N/A
2025-11-20T06:04:43.510648,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:04:43.510648,11721,31.950684,35.935284,231.13,0,58-11721,10637,N/A
2025-11-20T06:04:43.510648,10996,31.946478,35.909134,244.01,1,58-10996,10635,N/A
2025-11-20T06:04:43.510648,93341,31.945328,35.928497,31.7,1,58-93341,10643,N/A
2025-11-20T06:04:43.510648,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:04:43.510648,11541,32.024864,35.854744,0,1,58-11541,10614,N/A
2025-11-20T06:05:26.080342,11532,32.020725,35.843575,255.13,0,58-11532,10613,N/A
2025-11-20T06:05:26.080342,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:05:26.080342,11721,31.949015,35.93399,198.46,0,58-11721,10637,N/A
2025-11-20T06:05:26.080342,10996,31.945545,35.907257,0,1,58-10996,10635,N/A
2025-11-20T06:05:26.080342,93341,31.945328,35.928497,31.7,1,58-93341,10643,N/A
2025-11-20T06:05:26.080342,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:05:26.080342,11541,32.024277,35.852325,254.58,1,58-11541,10614,N/A
2025-11-20T06:06:03.462473,37113,32.02214,35.84481,72.4,0,58-37113,10612,N/A
2025-11-20T06:06:03.462473,11532,32.02093,35.842426,304.24,0,58-11532,10613,N/A
2025-11-20T06:06:03.462473,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:06:03.462473,11721,31.94559,35.930653,238.03,0,58-11721,10637,N/A
2025-11-20T06:06:03.462473,10996,31.945545,35.907257,0,1,58-10996,10635,N/A
2025-11-20T06:06:03.462473,93341,31.945328,35.928497,31.7,1,58-93341,10643,N/A
2025-11-20T06:06:03.462473,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:06:03.462473,11541,32.02282,35.847214,251.68,1,58-11541,10614,N/A
2025-11-20T06:06:46.134660,37113,32.023033,35.84811,68.7,0,58-37113,10613,N/A
2025-11-20T06:06:46.134660,11532,32.02093,35.842426,304.24,0,58-11532,10613,N/A
2025-11-20T06:06:46.134660,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:06:46.134660,11721,31.94607,35.928394,298.85,0,58-11721,10637,N/A
2025-11-20T06:06:46.134660,11535,31.946108,35.923836,251.05,1,58-11535,10636,N/A
2025-11-20T06:06:46.134660,10996,31.945545,35.907257,0,1,58-10996,10635,N/A
2025-11-20T06:06:46.134660,93341,31.945328,35.928497,31.7,1,58-93341,10643,N/A
2025-11-20T06:06:46.134660,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:06:46.134660,11541,32.020844,35.843742,189.81,1,58-11541,10642,N/A
2025-11-20T06:07:30.873043,37113,32.024,35.851456,71.5,0,58-37113,10613,N/A
2025-11-20T06:07:30.873043,11532,32.02093,35.842426,304.24,0,58-11532,10613,N/A
2025-11-20T06:07:30.873043,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:07:30.873043,11721,31.945911,35.922924,247.6,0,58-11721,10637,N/A
2025-11-20T06:07:30.873043,10978,31.945415,35.928635,0,1,58-10978,10643,N/A
2025-11-20T06:07:30.873043,11535,31.946108,35.923836,251.05,1,58-11535,10636,N/A
2025-11-20T06:07:30.873043,10996,31.945612,35.906723,0,1,58-10996,10634,N/A
2025-11-20T06:07:30.873043,93341,31.94533,35.928493,31.7,1,58-93341,10643,N/A
2025-11-20T06:07:30.873043,63779,31.946436,35.918182,124.81,1,58-63779,10636,N/A
2025-11-20T06:07:30.873043,11541,32.020844,35.843742,189.81,1,58-11541,10642,N/A
2025-11-20T06:08:15.789756,37113,32.024673,35.853977,76.7,0,58-37113,10613,N/A
2025-11-20T06:08:15.789756,11532,32.02093,35.842426,304.24,0,58-11532,10613,N/A
2025-11-20T06:08:15.789756,11364,32.020767,35.84276,289.24,0,58-11364,10612,N/A
2025-11-20T06:08:15.789756,11721,31.945925,35.920082,284.36,0,58-11721,10637,N/A
2025-11-20T06:08:15.789756,10978,31.945415,35.928635,0,1,58-10978,10643,N/A
2025-11-20T06:08:15.789756,11535,31.946108,35.923836,251.05,1,58-11535,10636,N/A
