ping_time,busId,lat,lng,bearing,direction,plateNumber,stopId,load
2025-11-20T00:00:40.782387,56867,32.0199,35.86344,134.5,0,58-56867,10613,N/A
2025-11-20T00:00:40.782387,11652,31.948112,35.915302,116.01,0,58-11652,10641,N/A
2025-11-20T00:00:40.782387,79602,31.98582,35.897446,135.8,0,58-79602,10623,N/A
2025-11-20T00:00:40.782387,66163,31.99257,35.916504,70.3,0,58-66163,10623,N/A
2025-11-20T00:00:40.782387,11547,32.003086,36.01475,197.73,0,58-11547,10625,N/A
2025-11-20T00:00:40.782387,11502,32.02091,35.842567,301.29,0,58-11502,10612,N/A
2025-11-20T00:00:40.782387,55857,32.021294,35.84288,52.3,0,58-55857,10612,N/A
2025-11-20T00:00:40.782387,93341,32.021854,35.842514,73.9,0,58-93341,10612,N/A
2025-11-20T00:00:40.782387,11688,32.000412,36.014793,0,0,58-11688,10613,N/A
2025-11-20T00:00:40.782387,11535,31.94499,35.924744,73.59,0,58-11535,10641,N/A
2025-11-20T00:00:40.782387,47376,31.946213,35.927135,100.18,0,58-47376,10635,N/A
2025-11-20T00:00:40.782387,84113,32.02795,35.859768,67.9,0,58-84113,10613,N/A
2025-11-20T00:00:40.782387,10996,31.999315,36.0143,0,0,58-10996,10612,N/A
2025-11-20T00:00:40.782387,11364,32.02107,35.842655,0,0,58-11364,10612,N/A
2025-11-20T00:00:40.782387,11924,32.022373,35.845585,71.4,0,58-11924,10612,N/A
2025-11-20T00:00:40.782387,11415,32.020874,35.842754,306.06,0,58-11415,10612,N/A
2025-11-20T00:00:40.782387,52827,32.02149,35.842667,154.3,0,58-52827,10612,N/A
2025-11-20T00:00:40.782387,11718,31.999636,36.015984,216.29,0,58-11718,10623,N/A
2025-11-20T00:00:40.782387,11682,32.020844,35.84277,282.48,0,58-11682,10612,N/A
2025-11-20T00:00:40.782387,11721,32.00004,36.01595,0,0,58-11721,10637,N/A
2025-11-20T00:00:40.782387,46750,32.021717,35.84251,143.5,0,58-46750,10612,N/A
2025-11-20T00:00:40.782387,45556,31.945889,35.92834,118.6,0,58-45556,10635,N/A
2025-11-20T00:00:40.782387,10984,32.020824,35.842667,283.1,0,58-10984,10612,N/A
